-7.78856 6.27203
-7.84526 6.20096
-7.9013 6.12939
-7.9567 6.0573
-8.01144 5.98472
-8.06551 5.91164
-8.11892 5.83808
-8.17166 5.76403
-8.22372 5.6895
-8.2751 5.61451
-8.3258 5.53905
-8.37581 5.46313
-8.42513 5.38676
-8.47375 5.30995
-8.52167 5.2327
-8.56889 5.15501
-8.6154 5.0769
-8.66119 4.99837
-8.70627 4.91943
-8.75064 4.84008
-8.79428 4.76033
-8.83719 4.68018
-8.87937 4.59965
-8.92082 4.51874
-8.96153 4.43746
-9.0015 4.35581
-9.04072 4.2738
-9.0792 4.19143
-9.11693 4.10872
-9.1539 4.02567
-9.19012 3.94229
-9.22558 3.85858
-9.26028 3.77456
-9.29421 3.69022
-9.32737 3.60557
-9.35976 3.52063
-9.39138 3.4354
-9.42222 3.34988
-9.45229 3.26409
-9.48157 3.17802
-9.51007 3.0917
-9.53778 3.00512
-9.56471 2.91829
-9.59084 2.83121
-9.61618 2.74391
-9.64073 2.65638
-9.66448 2.56863
-9.68743 2.48066
-9.70958 2.39249
-9.73093 2.30413
-9.75147 2.21557
-9.77121 2.12683
-9.79014 2.03791
-9.80827 1.94883
-9.82558 1.85958
-9.84208 1.77019
-9.85776 1.68064
-9.87263 1.59096
-9.88669 1.50114
-9.89992 1.4112
-9.91234 1.32114
-9.92395 1.23098
-9.93473 1.14071
-9.94469 1.05035
-9.95382 0.959901
-9.96214 0.869373
-9.96963 0.778774
-9.9763 0.68811
-9.98214 0.597389
-9.98716 0.506619
-9.99135 0.415807
-9.99472 0.32496
-9.99726 0.234087
-9.99897 0.143194
-9.99986 0.0522899
-9.99993 -0.0386188
-9.99916 -0.129524
-9.99757 -0.220419
-9.99515 -0.311296
-9.99191 -0.402147
-9.98784 -0.492964
-9.98295 -0.583741
-9.97723 -0.67447
-9.97068 -0.765143
-9.96332 -0.855753
-9.95513 -0.946292
-9.94611 -1.03675
-9.93628 -1.12713
-9.92562 -1.21741
-9.91414 -1.30759
-9.90185 -1.39766
-9.88873 -1.48762
-9.8748 -1.57746
-9.86005 -1.66716
-9.84449 -1.75673
-9.82811 -1.84615
-9.81092 -1.93542
-9.79292 -2.02453
-9.77411 -2.11347
-9.75449 -2.20224
-9.73407 -2.29082
-9.71284 -2.37922
-9.69081 -2.46742
-9.66798 -2.55541
-9.64435 -2.64319
-9.61992 -2.73076
-9.5947 -2.8181
-9.56869 -2.90521
-9.54188 -2.99207
-9.51429 -3.07869
-9.48591 -3.16506
-9.45674 -3.25116
-9.42679 -3.337
-9.39607 -3.42256
-9.36457 -3.50783
-9.33229 -3.59282
-9.29924 -3.67751
-9.26543 -3.76189
-9.23085 -3.84597
-9.1955 -3.92972
-9.1594 -4.01316
-9.12254 -4.09626
-9.08492 -4.17902
-9.04656 -4.26144
-9.00744 -4.3435
-8.96758 -4.4252
-8.92699 -4.50654
-8.88565 -4.58751
-8.84358 -4.6681
-8.80077 -4.7483
-8.75725 -4.82811
-8.71299 -4.90752
-8.66802 -4.98653
-8.62233 -5.06512
-8.57593 -5.14329
-8.52882 -5.22104
-8.481 -5.29836
