0 4.31106e-14
1 1.01046e-13
2 2.44547e-13
3 6.83139e-13
4 1.39024e-12
5 4.00245e-12
6 6.91818e-12
7 2.12205e-11
8 3.02286e-11
9 1.03527e-10
10 1.16341e-10
11 4.67606e-10
12 4.02292e-10
13 1.95842e-09
14 1.29537e-09
15 7.55414e-09
16 4.07133e-09
17 2.6435e-08
18 1.27017e-08
19 8.21355e-08
20 3.77424e-08
21 2.20889e-07
22 9.91221e-08
23 4.99857e-07
24 2.14395e-07
25 9.20899e-07
26 3.58981e-07
27 1.3209e-06
28 4.34336e-07
29 1.36812e-06
30 3.49016e-07
31 8.63654e-07
32 2.1498e-07
33 1.73936e-07
34 3.26423e-07
35 9.21687e-08
36 6.41785e-07
37 9.93698e-07
38 7.41176e-07
39 3.46772e-06
40 3.32306e-06
41 1.53368e-05
42 2.6571e-05
43 7.23074e-05
44 0.000134458
45 0.000282804
46 0.000498225
47 0.000907125
48 0.00149227
49 0.00245528
50 0.00377608
51 0.00571308
52 0.00821981
53 0.011519
54 0.0154906
55 0.0201649
56 0.025308
57 0.0306324
58 0.0358269
59 0.0403252
60 0.043898
61 0.0459353
62 0.0464994
63 0.0452178
64 0.0425338
65 0.0384203
66 0.0335638
67 0.0281491
68 0.0228288
69 0.0177684
70 0.0133737
71 0.00965619
72 0.00674417
73 0.00451546
74 0.0029264
75 0.00181633
76 0.00109237
77 0.000628459
78 0.000350752
79 0.000187136
80 9.6866e-05
81 4.80249e-05
82 2.29917e-05
83 1.0659e-05
84 4.67718e-06
85 2.0624e-06
86 8.08386e-07
87 3.54104e-07
88 1.15906e-07
89 5.59422e-08
90 1.29519e-08
91 8.64827e-09
92 9.57392e-10
93 1.39081e-09
94 3.16235e-11
95 2.22638e-10
96 3.20756e-12
97 2.30087e-11
98 1.80094e-12
99 6.41617e-13
