0 0.005
1 9.9745
2 27.763
3 44.9523
4 61.543
5 77.5356
6 92.9306
7 107.729
8 121.93
9 135.536
10 148.546
11 160.961
12 172.781
13 184.007
14 194.64
15 204.68
16 214.126
17 222.98
18 231.243
19 238.913
20 245.992
21 252.48
22 258.378
23 263.685
24 268.401
25 272.528
26 276.064
27 279.011
28 281.369
29 283.137
30 284.315
31 284.905
32 284.905
33 284.315
34 283.137
35 281.369
36 279.011
37 276.064
38 272.528
39 268.401
40 263.685
41 258.378
42 252.48
43 245.992
44 238.913
45 231.243
46 222.98
47 214.126
48 204.68
49 194.64
50 184.007
51 172.781
52 160.961
53 148.546
54 135.536
55 121.93
56 107.729
57 92.9306
58 77.5356
59 61.543
60 44.9523
61 27.763
62 9.9745
63 0.005
